Feature,Importance
Academic Pressure,0.478866564738518
Financial Stress_5,0.10194318936889679
Age,0.10039108553222567
Work/Study Hours,0.0687386743400681
Financial Stress_4,0.055038659793213505
Dietary Habits_Unhealthy,0.03980689404443459
Study Satisfaction,0.03188312016872176
Financial Stress_3,0.031027164738921368
CGPA,0.025613906257712173
Dietary Habits_Moderate,0.010307894640804652
Sleep Duration_'Less Than 5 Hours',0.008921260789944678
Financial Stress_2,0.007438141354927509
Sleep Duration_'More Than 8 Hours',0.007297837000710782
Family History of Mental Illness_Yes,0.005258138204873012
Degree_Llm,0.0016526508994361322
Degree_Ma,0.0015136321996256843
Degree_B.Pharm,0.0014722765020757963
Degree_Md,0.0013882752295007149
Degree_B.Arch,0.0012859711577773352
Gender_Male,0.0012789678668911713
Degree_M.Tech,0.0012000398472663378
Sleep Duration_'7-8 Hours',0.0011676792186616838
Degree_Me,0.0010938961150218614
Degree_Be,0.0010644778497953902
Degree_Bsc,0.0009999266744325941
Degree_Msc,0.0009691675008440038
Degree_Mbbs,0.0009619996242521755
Degree_Phd,0.0009052280439927917
Degree_B.Ed,0.0008720197258848481
Degree_Mba,0.0007963362296583133
Degree_Bca,0.0007850673877362163
Profession_Student,0.0007453927301869957
Degree_Mca,0.0007308999624745005
Degree_Bhm,0.0007226856558846186
Degree_B.Com,0.0006673952298898886
Degree_M.Com,0.0006659906672660933
Degree_Mhm,0.0006407625954749813
Degree_B.Tech,0.0006358153710200826
Degree_Bba,0.0005776193485119856
Degree_Ba,0.0004888123066953251
Degree_M.Ed,0.00047519597329558517
Degree_M.Pharm,0.0004541419664923832
Degree_Llb,0.000406398970721409
Job Satisfaction,0.00033570753988801594
Dietary Habits_Others,0.00016670815305414317
Financial Stress_?,0.00011135819739798115
Profession_Architect,0.0001104136366777351
Degree_Others,6.653762151828657e-05
Sleep Duration_Others,5.8021026724395875e-05
Profession_Lawyer,0.0
Profession_Chef,0.0
Profession_Entrepreneur,0.0
Profession_Doctor,0.0
Profession_'Content Writer',0.0
Profession_'Digital Marketer',0.0
Profession_'Educational Consultant',0.0
Work Pressure,0.0
Profession_Pharmacist,0.0
Profession_Manager,0.0
Profession_Teacher,0.0
Profession_'Ux/Ui Designer',0.0
